,id,rating,title_sin,artist,genre,music,song,writer,title_singlsh
0,0,1162, කෝකිලයා කෙවිලිය හා,"රුක්මනී දේවි,එච්.ආර්.ජෝතිපාල", ,මිල්රෝයි ධර්මරත්න,"කෝකිලයා කෙවිලිය හා  
නැළවෙන ප්‍රේම වසන්තය මේ 
ඕ... රනමොණරා රන්මොණරිය හා  
සැනසෙන ප්‍රේම වසන්තය මේ//
 
ජීවන උයනේ සීතල සෙවනේ 
රම්‍ය දර්ශනේ රම්‍ය දර්ශනේ 
ආදර ගඟුලේ සෝබන ඉවුරේ 
ගීත කූජනේ ගීත කූජනේ
පරමාදරේ පරමාදරේ අමා උල්පත ඇරුණා
 
රන් කුසලානෙක  පෙම්මදිරා ඉතිරී යනවා
රොන් පිරි කුසුමක්  භෘංග නදින් පිබිදී එනවා//
පරමාදරේ පරමාදරේ අමා උල්පත ඇරුණා
",කරුණාරත්න අබේසේකර,Kokilaya Keviliya ha
1,1,676, අමා රන් හැඟුම් ,මිල්ටන් මල්ලවරාච්චි,පැරණි පොප්ස්,ස්ටැන්ලි පියරිස්,"අමා රන් හැඟුම් පිරී - සෙනෙහේ බිඳීලා
කඳුලැල් ගලා යාවී - දෙනුවන් විඩා වූවා //
අමා රන් හැඟුම් පිරී
 
 
නල වැල් වැදීලා - රුවලත්  ඉරීලා 
රල වැල්  ගැටීලා - නෙෳකා බිඳී            
වැනසී ගියා
 
 
වන මල් පිපේදෝ -  බඹරුන් හඬා දෝ
මේ දුක් ඇසේදෝ - ඔබගේ හදේ           
කිසිදා ලඳේ
",කේ.ඩී.කේ ධර්මවර්ධන,Ama Ran Hengum
2,2,1134, හිරුගේ ලොවේදී ,ක්ලැරන්ස් විජේවර්ධන,පැරණි පොප්ස්,ක්ලැරන්ස් විජේවර්ධන,"හිරුගේ ලොවේදී අපි වෙන්වෙමූ
සදුගේ රැයේදී යළි හමුවෙමූ
යළි හමුවෙමූ 
 සැකයේ වෙළිලා උදයේ හවා
 රැකවල් නැඟේ අප වටා
 ගොළුවී මුවාවී ඉමූ
 
 
 අදුරේ වෙළිලා රැය සීතලේ
 සිහිනේ උදාවූ ලොවේ
 මුමුණා සිනා සී ඉමූ
",කුලරත්න ආරියවන්සන්,Hiruge Lowedee
3,3,1034,ආලෝකේ පතූරා,සේනරත්නගේ ඉතිරි කොටස,"දේවානුභාවයෙන්,චිත්‍රපට ගීත,ඉල්ලීම",සේනරත්නගේ ඉතිරි කොටස,"ම්……. ම්……. ම්……. ම්…….
ආලෝකේ පතූරා මුළු ලෝකේ ඔපලා
චන්ද්‍රා භෙමින් එයි නැගි
ලොව මිහිර නොබලා රස සිහින පෙනීලා
මගේ මැණික සුවසේ නිදී//
කොවුලන්ගේ මුධු ගීත සුලගින් ගෙනා සීත
සුවදායකයි රෑ මෙහි
ම්……. ම්……. ම්……. ම්…….
  				
සියතුන් හඬන්නේ මොණරුන් රඟන්නේ
නෑ ඔවුනුත් නිදියාගනී
කොඳ මල් සිනාසේ විල් නිල් ජලාශේ
රණ හංසයෝ පීනති සඳකැන් බිබී නැහැවෙති
කිංකිණි නොසෙල්වා නටමින් වරෙල්ලා
සුර කෙල්ලනෙ ඈ නිදී
මගේ මැණික සුවසේ නිදී
ම්……. ම්……. ම්……. ම්………//
  				
         
",සෙනෙවිරත්න මත හර්බාඩ්,Aloke Pathura
4,4,2536, අවසන් ලියුමයි,"සතිෂ් පෙරේරා,ෂෙල්ටන් පෙරේරා",ගෝල්ඩන් ඕල්ඩීස්, ,"අවසන් ලියුමයි ඔබට ලියන්නේ 
විරහා කඳුළු රැඳි පෑනෙන්
කියවා හැඬුවත් මට නම් කම් නැ 
මගෙ හිත අද තද නින්දේ
එයා පැලැන්දූ මංගල මුදුවේ 
ආඩම්බරකම මම දුටිමී
ගෙල වට කරගෙන ළමැදේ ලගිනා 
මංගල මාලය මම දුටිමී
අබරණ අන්දන රන්වන් විහිලුව 
සදාතනික ආදරය නොවේ
කියවා හැඬුවත් මට නම් කම් නැ 
මගෙ හිත අද තද නින්දේ
පෑන තවත් දේ ලියන්න කීවත් 
මොනවා ලියන්නද මීට වඩා
මේ ගැන අන් කිසිවෙකු නැහැ දන්නේ 
වෙන දීගෙක ගිය ඔබට වඩා
අබරණ අන්දන රන්වන් විහිලුව 
සදාතනික ආදරය නොවේ
කියවා හැඬුවත් මට නම් කම් නැ 
මගෙ හිත අද තද නින්දේ
", ,Awasan Liyumai
5,5,926, ඝන අඳුරේ,මිල්ටන් මල්ලවරාච්චි,පැරණි පොප්ස්,ක්ලැරන්ස් විජේවර්ධන,"                                          
 
ඝන අඳුරේ රළ පතරේ 
ජීවය පරදුවට තබා
වියත රකින මහ සම්පත්
නෙළා ගන්න මුහුදු ගියා
තෝරු මෝරු පොකිරිස්සෝ
අපෙ දුක සැප විමසනවා//
තොරතුරු ගැන කම්පා වී
අපේ දැළට ළංවෙනවා
කම්පා වී ළංවෙනවා
පණ කෙන්දට බිය ඇත්තෝ
මුහුදු යන්න බිය වෙනවා//
බිය සැක නැති අය දුටුව ම
මහ මුහුදත් බිය වෙනවා
මහ මුහුදත් බියවෙනවා
             
 

 


",කේ.ඩී.කේ ධර්මවර්ධන,Gana Andure
6,6,927,කඳුළු අරණක,ලලිත් පොන්නම්පෙරුම,"පැරණි පොප්ස්,ඉල්ලීම",ජයන්ත ගමගේ,"කඳුළු අරණක තනි වෙමි 
ඔබෙන් සමුගෙන මා
පැතුම් මාගේ යයි බිඳී 
ආදරෙන් මිදිලා//
යාවී ඈතට පාවෙලා 
දුක් සුසුම් නැගිලා//
අපෙ පැතුම් ලොව රැදෙන්නට මට
වරම් නැත ලැබිලා
ගැයූ අපෙ පෙම් ගීතිකා 
සුළගෙ ඇත රැඳිලා
ඔබේ අත ගෙන සිනාසෙන්නට 
වරම් නැත ලැබිලා
",ජයනත ගමගේ,Kandulu Aranaka
7,7,686, මගේ සෙනෙහස ,සුනිල් එඩිරිසිංහ,ක්ලැසික්,රොහාන වීරසිංහ,"මගේ සෙනෙහස මෙතෙක් වේ යැයි
මනින්නට ඔබ උගෙන නැත තව
මගේ අවසන් සුසුම පමණද
අවැසි ඔබ හට මා දකින්නට//
මගේ සෙනෙහස මෙතෙක් වේ යැයි
මනින්නට ඔබ උගෙන නැත තව      
  				
වසර ගණනක යොදුන් ගණනක
ගමන් මඟ අප ගෙවා ඇත්තෙමු
තරු වියන් යට කුසුම් පෙති මත
දෑත් පටලා ඇවිද ඇත්තෙමු
එහෙත් සුහදිනි
මගේ සෙනෙහස මෙතෙක් වේ යැයි
මනින්නට ඔබ උගෙන නැත තව
මිලින කුසුමෙක මිලින සිහිනෙක
මගේ සිහියද සැඟව ගත් කල
සිතනු මැන ඔබ ඔබට අවනත
හදක් මිහිමත මෙතෙක් රැඳි වග
එහෙත් සුහදිනි
මගේ සෙනෙහස මෙතෙක් වේ යැයි
මනින්නට ඔබ උගෙන නැත තව
			
 
",විජේතුංග ගුවන් තොටුපල,Mage Senehasa
8,8,817, මල් යහනාවකි ලෝකේ,එම්.එස්. ප්‍රනාන්දු,"චිත්‍රපට ගීත,ගෝල්ඩන් පොප්",ෂෙල්ටන් පෙරේරා," 
මල් යහනාවකි ලෝකේ නැහැවෙයි චන්ද්‍රාලෝකේ
යන නොසිතු වෙලාවක වියැකී
ජීවය තණ අග පිණි බිඳකී //
මල් යහනාවකි ලෝකේ නැහැවෙයි චන්ද්‍රාලෝකේ
    
ඊයේ ගතවිය හෙට පැමිණී නැත අද පමණයි ඇත්තේ
අද පමණයි ඇත්තේ අද පමණයි ඇත්තේ
සඳ බැස යාවිද‍ ඉරු නැග ඒවිද එය ස්ථිර නැත්තේ
එය ස්ථිර නැත්තේ එය ස්ථිර නැත්තේ
සිතෙහි සතුට නැත සදහට පවතින්නේ
ලැබුණු තැනදි ඇයි සිතමින් ළතවෙන්නේ
    
රන්වන් පැහැයෙන් රහසින් අමතන මීවිත අතට ගමු
මීවිත අතට ගමු මීවිත අතට ගමු
මල් මදිරාවේ පෙම් සිළිලාරෙ රසවිද ඔකඳ වෙමු
රසවිද ඔකඳ වෙමු රසවිද ඔකඳ වෙමු
පියා සලාගෙන කාලය පියඹනවා 
පමා වුනෝතින් අප මග තනිවෙනවා
අඬමින් ඉපදී අඬමින් පසු වී අඬමින් අප යන්නේ 
අඬමින් අප යන්නේ අඬමින් අප යන්නේ
එහෙනම් චුට්ටක් විනෝද වෙමු අපි 
ඇයි බල බල ඉන්නේ ඇයි බල බල ඉන්නේ
පළ නැත අවුරුදු සියයක් සුසුම් හෙලා
දවසක් ජීවත් වෙමු අපි උදම් වෙලා
 
    
 
   
",කරුණාරත්න අබේසේකර,Mal Yahanawaki Loke
9,9,1715,චාරු දේහේ නුරා,අමිරසිරි පීරිස්,"ක්ලැසික්,ඉල්ලීම",අමරසිරි පියරිස්,"  
චාරු දේහේ නුරා මා දෑසේ මැවේ
රාත්‍රියේ රෑ සඳේ ඈ සිනා ශ්‍රීය දේ
චාරු දේහේ නුරා
පිහින පීනා රසෝගේ සරාගී විලේ 
රාත්‍රි යාමයේ//
ඈගේ දෑසේ ප්‍රබෝධේ නුරා ගී නැගේ
ජීවිතේ යෞවනේ ප්‍රේමයේ මී වනේ 
  
සීත මිහිදුම් වළාවෝ වෙළීලා සඳේ 
 තාරකාවේ//
මිහි තලාවේ තුසීතේ මැවේ මා හදේ
ජීවිතේ යෞවනේ ප්‍රේමයේ මී වනේ
                                         
  
 
",ලව්ලි ඩේ ඩි අල්විස්,Charu Dehe Nura
